fullName,userName,serverIP,role,status,
PAM Account,pam360id,172.16.131.15,0,Account created
PAM Account,pam360id,172.16.108.25,0,Account created
PAM Account,pam360id,172.16.132.15,0,Account created
PAM Account,pam360id,172.16.108.10,0,Account created
PAM Account,pam360id,172.16.131.12,0,Account created
PAM Account,pam360id,172.16.132.12,0,Account created
PAM Account,pam360id,172.16.106.7,0,Account created
PAM Account,pam360id,172.16.133.28,0,Account created
PAM Account,pam360id,172.16.133.17,0,Account created
PAM Account,pam360id,172.16.9.167,0,Account created
PAM Account,pam360id,172.30.1.19,0,Account created
PAM Account,pam360id,172.16.106.10,0,Account created
PAM Account,pam360id,172.16.108.20,0,Account created
PAM Account,pam360id,172.16.107.10,0,Account created
PAM Account,pam360id,172.16.110.4,0,Account created
PAM Account,pam360id,172.16.108.30,0,Account created
PAM Account,pam360id,172.16.15.4,0,Account created
