IP Address,Hostname,Detected IP,RHEL Version
108.25,pdsfxbnmptc01d,172.16.108.25,Red Hat Enterprise Linux Server release 6.5 (Santiago)
7.133,pdsfrwdbonddbd,172.16.7.133,Red Hat Enterprise Linux release 9.5 (Plow)
cloud,Connection Failed,N/A,N/A
167.135,V6REPORTSHAMGT01P,192.168.167.135,Red Hat Enterprise Linux release 8.4 (Ootpa)
167.15,BANCSHAMNG1P,,Red Hat Enterprise Linux Server release 5.7 (Tikanga)
97.2,BANCSCARTC1D,,Red Hat Enterprise Linux Server release 5.7 (Tikanga)
216.10,PDSDTAACPOINT1D,172.16.216.10,Red Hat Enterprise Linux Server release 6.5 (Santiago)
97.3,BANCSREPVT01D,172.16.97.3,Red Hat Enterprise Linux release 8.4 (Ootpa)
86.2,BANCSAPPNG1P,,Red Hat Enterprise Linux Server release 5.7 (Tikanga)
86.3,BANCSAPPNG2P,,Red Hat Enterprise Linux Server release 5.7 (Tikanga)
108.20,pdsclgwyweb1d,172.16.108.20,Red Hat Enterprise Linux Server release 7.6 (Maipo)
168.72,Connection Failed,N/A,N/A
15.4,pdsapiwebapp1d,172.16.15.4,Red Hat Enterprise Linux Server release 7.6 (Maipo)
168.73,pdsngild1test,192.168.168.73,Red Hat Enterprise Linux release 9.5 (Plow)
168.3,BANCSDBSNG1U,,Red Hat Enterprise Linux Server release 5.7 (Tikanga)
7.3,pdsngsblprd01p,172.16.7.3,Red Hat Enterprise Linux release 8.3 (Ootpa)
168.125,pdsemscmwt,192.168.168.125,Red Hat Enterprise Linux release 9.4 (Plow)
168.2,BANCSWACNG1U,,Red Hat Enterprise Linux Server release 5.7 (Tikanga)
168.71,pdsngbbs1test,192.168.168.71,Red Hat Enterprise Linux release 9.4 (Plow)
195.10,Connection Failed,N/A,N/A
168.4,Connection Failed,N/A,N/A
195.12,Connection Failed,N/A,N/A
168.6,PDSWEBTIBTST01,,Red Hat Enterprise Linux Server release 6.1 (Santiago)
7.236,pdsngmdfe1p,172.16.7.236,Red Hat Enterprise Linux release 9.5 (Plow)
2.123,mpredisharvesterp,,Red Hat Enterprise Linux Server release 5.5 (Tikanga)
2.122,NMPDBNP1P,169.254.95.120,Red Hat Enterprise Linux Server release 6.6 (Santiago)
108.30,pdsapipxybal1d,172.16.108.30,Red Hat Enterprise Linux Server release 7.6 (Maipo)
100.3,pdsapidbsvr2p,172.16.100.3,Red Hat Enterprise Linux Server release 7.6 (Maipo)
7.232,Connection Failed,N/A,N/A
2.71,NMPDBNV2P,172.16.2.71,Red Hat Enterprise Linux Server release 6.6 (Santiago)
7.231,pdsclgwyweb1p,172.16.7.231,Red Hat Enterprise Linux Server release 7.6 (Maipo)
131.20,PDSITOPSVR1D,,Red Hat Enterprise Linux Server release 6.1 (Santiago)
168.116,pdsfxbnmpws01,192.168.168.116,Red Hat Enterprise Linux Server release 6.5 (Santiago)
168.115,pdssblprod01p,192.168.168.115,Red Hat Enterprise Linux release 8.3 (Ootpa)
168.180,Connection Failed,N/A,N/A
168.181,Connection Failed,N/A,N/A
168.182,Connection Failed,N/A,N/A
87.5,BANCSCARNG2P,,Red Hat Enterprise Linux Server release 5.7 (Tikanga)
122.22,PDSWEBPRODDB2,,Red Hat Enterprise Linux Server release 6.1 (Santiago)
87.4,BANCSCARNG1P,,Red Hat Enterprise Linux Server release 5.7 (Tikanga)
122.21,PDSSITEDBNG1P,,Red Hat Enterprise Linux Server release 6.1 (Santiago)
168.175,pdsngpppag1test,192.168.168.175,Red Hat Enterprise Linux release 9.5 (Plow)
9.165,BANCSWEBTC1D,,Red Hat Enterprise Linux Server release 5.7 (Tikanga)
168.177,pdsclgwyapp1t,192.168.168.177,Red Hat Enterprise Linux Server release 7.6 (Maipo)
me,Connection Failed,N/A,N/A
9.167,Connection Failed,N/A,N/A
168.105,pdsesiprept,192.168.168.105,Red Hat Enterprise Linux release 9.5 (Plow)
168.172,Connection Failed,N/A,N/A
168.108,accstestenv,192.168.168.108,Red Hat Enterprise Linux Server release 6.5 (Santiago)
7.108,pdsfrwdbond1d,172.16.7.108,Red Hat Enterprise Linux release 9.4 (Plow)
7.211,Connection Failed,N/A,N/A
7.212,Connection Failed,N/A,N/A
86.20,Connection Failed,N/A,N/A
133.17,PDSSCCPISODB1D,172.16.133.17,Red Hat Enterprise Linux release 8.3 (Ootpa)
168.179,pdsclgwydb1t,192.168.168.179,Red Hat Enterprise Linux Server release 7.6 (Maipo)
7.214,TRADEINTNG2P,,Red Hat Enterprise Linux Server release 6.1 (Santiago)
168.42,PDSWEBDBNGTST01,,Red Hat Enterprise Linux Server release 6.1 (Santiago)
7.215,TRADEINTNG1P,,Red Hat Enterprise Linux Server release 6.1 (Santiago)
168.41,PDSWEBAPPSTST01,,Red Hat Enterprise Linux Server release 6.1 (Santiago)
121.20,PDSITOPSVR1P,,Red Hat Enterprise Linux Server release 6.1 (Santiago)
168.40,PDSSITEAPPNG1T,,Red Hat Enterprise Linux Server release 6.1 (Santiago)
98.13,pdsbancsv6db1d,172.16.98.13,Red Hat Enterprise Linux release 8.10 (Ootpa)
