INT,DESCRIPTION,STATUS,VLAN,MAC ADDRESS,IP,ACTIVE (YES/NO)
Facilities,NG/BIO/BATTERY/192.168.167.229,N/A,N/A,N/A,192.168.167.229,
Facilities,NG-BIOMETRIC,N/A,N/A,N/A,192.168.167.228,
Facilities,NG/BIO/SLIDING_DOOR/192.168.167.227,N/A,N/A,N/A,192.168.167.227,
Facilities,NG/BIO/FACEPASS,N/A,N/A,N/A,192.168.167.226,
Facilities,NG/BIO/MAINDOOR,N/A,N/A,N/A,192.168.167.225,
Server,Data Center Face Recognitio (Anviz) ,N/A,N/A,N/A,192.168.167.220,
STORAGE,BANCS-v6-SVC-Secondary,N/A,N/A,N/A,192.168.167.22,
STORAGE,BANCS-v6-SVC-Primary,N/A,N/A,N/A,192.168.167.21,
Server,Veeam Backup and Replication (OLD DEMO),N/A,N/A,N/A,192.168.167.200,
STORAGE,NG-FCIP-MGMT,N/A,N/A,N/A,192.168.167.20,
Server,Bancs Web 1,N/A,N/A,N/A,192.168.167.2,
SIP,NG/SR11/NG-R230-SEC/DELL-AVAYA-R230-IPO,N/A,N/A,N/A,192.168.167.19,
SIP,NG/SR11/NG-R230-PRI/DELL-AVAYA-R230-IPO,N/A,N/A,N/A,192.168.167.18,
Facilities,NG/NEW-PDU6,N/A,N/A,N/A,192.168.167.156,
Facilities,NG/NEW-PDU5,N/A,N/A,N/A,192.168.167.155,
Facilities,NG/NEW-PDU4,N/A,N/A,N/A,192.168.167.154,
Facilities,NG/NEW-PDU3,N/A,N/A,N/A,192.168.167.153,
Facilities, NG/NEW-PDU7,N/A,N/A,N/A,192.168.167.152,
Facilities,NG/NEW-PDU2,N/A,N/A,N/A,192.168.167.150,
Server,BANCS HA Manager,N/A,N/A,N/A,192.168.167.15,
Server,QRADAR_MGMTIP,N/A,N/A,N/A,192.168.167.140,
Storage,NG/SR01/IBMSVC/PDS_SVC_PROD/N01/,N/A,N/A,N/A,192.168.167.137,
Server,NG-NEW-BANCS-V6-Reports-SVR,N/A,N/A,N/A,192.168.167.135,
Server,NG-NEW-BANCS-V6-Reports-SVR,N/A,N/A,N/A,192.168.167.132,
Server,NG-NEW-BANCS-V6-Reports-SVR,N/A,N/A,N/A,192.168.167.131,
Server,NG-ACS-SERVER,N/A,N/A,N/A,192.168.167.130,
Server,Coms and Reports 2,N/A,N/A,N/A,192.168.167.13,
Server,VM Test Host ,N/A,N/A,N/A,192.168.167.120,
