INT,DESCRIPTION,STATUS,VLAN,MAC ADDRESS,IP,ACTIVE (YES/NO)
Facilities,NG-PACU-1,N/A,N/A,N/A,192.168.167.231,YES
Facilities,NG/BIO/DATTACENTER,N/A,N/A,N/A,192.168.167.230,NO
STORAGE,NG/SR01/IBMSVC/PDS_SVC_PROD/N01/,N/A,N/A,N/A,192.168.167.23,YES
Facilities,NG/BIO/BATTERY/192.168.167.229,N/A,N/A,N/A,192.168.167.229,NO
Facilities,NG-BIOMETRIC,N/A,N/A,N/A,192.168.167.228,YES
Facilities,NG/BIO/SLIDING_DOOR/192.168.167.227,N/A,N/A,N/A,192.168.167.227,YES
Facilities,NG/BIO/FACEPASS,N/A,N/A,N/A,192.168.167.226,YES
Facilities,NG/BIO/MAINDOOR,N/A,N/A,N/A,192.168.167.225,YES
Server,Data Center Face Recognitio (Anviz) ,N/A,N/A,N/A,192.168.167.220,YES
STORAGE,BANCS-v6-SVC-Secondary,N/A,N/A,N/A,192.168.167.22,YES
STORAGE,BANCS-v6-SVC-Primary,N/A,N/A,N/A,192.168.167.21,YES
Server,Veeam Backup and Replication (OLD DEMO),N/A,N/A,N/A,192.168.167.200,NO
STORAGE,NG-FCIP-MGMT,N/A,N/A,N/A,192.168.167.20,YES
Server,Bancs Web 1,N/A,N/A,N/A,192.168.167.2,YES
SIP,NG/SR11/NG-R230-SEC/DELL-AVAYA-R230-IPO,N/A,N/A,N/A,192.168.167.19,YES
SIP,NG/SR11/NG-R230-PRI/DELL-AVAYA-R230-IPO,N/A,N/A,N/A,192.168.167.18,YES
Facilities,NG/NEW-PDU6,N/A,N/A,N/A,192.168.167.156,YES
Facilities,NG/NEW-PDU5,N/A,N/A,N/A,192.168.167.155,YES
Facilities,NG/NEW-PDU4,N/A,N/A,N/A,192.168.167.154,NO
Facilities,NG/NEW-PDU3,N/A,N/A,N/A,192.168.167.153,YES
Facilities, NG/NEW-PDU7,N/A,N/A,N/A,192.168.167.152,YES
Facilities,NG/NEW-PDU2,N/A,N/A,N/A,192.168.167.150,YES
Server,BANCS HA Manager,N/A,N/A,N/A,192.168.167.15,YES
Server,QRADAR_MGMTIP,N/A,N/A,N/A,192.168.167.140,YES
Storage,NG/SR01/IBMSVC/PDS_SVC_PROD/N01/,N/A,N/A,N/A,192.168.167.137,YES
Server,NG-NEW-BANCS-V6-Reports-SVR,N/A,N/A,N/A,192.168.167.135,YES
Server,NG-NEW-BANCS-V6-Reports-SVR,N/A,N/A,N/A,192.168.167.132,YES
Server,NG-NEW-BANCS-V6-Reports-SVR,N/A,N/A,N/A,192.168.167.131,YES
Server,NG-ACS-SERVER,N/A,N/A,N/A,192.168.167.130,YES
Server,Coms and Reports 2,N/A,N/A,N/A,192.168.167.13,YES
Server,VM Test Host ,N/A,N/A,N/A,192.168.167.120,NO
Server,NG/SR01/IBMX3650M4/BANCSAPPNG2P,N/A,N/A,N/A,192.168.167.12,YES
Storage,V7000,N/A,N/A,N/A,192.168.167.110,YES
Server,OLD VMware Host 2 PROD,N/A,N/A,N/A,192.168.167.102,YES
Server,OLD Vmware Host 1 PROD,N/A,N/A,N/A,192.168.167.101,NO
Server,PDS vCenter,N/A,N/A,N/A,192.168.167.100,NO
Server,Coms and Reports 1,N/A,N/A,N/A,192.168.167.10,YES
STORAGE,NEW-DB-ORACLE-STORAGE1-19C,N/A,N/A,N/A,192.168.166.9,YES
STORAGE,NEW-SAN-SW2-ORACLE-19C_,N/A,N/A,N/A,192.168.166.8,YES
